date,Sentiment,average_sentiment_score
07-08-2019,positive,0.530727565
08-08-2019,negative,0.432666123
09-08-2019,positive,0.554341018
10-08-2019,positive,0.522716701
11-08-2019,negative,0.469780415
12-08-2019,positive,0.511415124
13-08-2019,negative,0.455694199
14-08-2019,positive,0.546728969
15-08-2019,negative,0.404498428
16-08-2019,positive,0.610963643
17-08-2019,negative,0.267694801
18-08-2019,negative,0.366872102
19-08-2019,negative,0.491484672
20-08-2019,positive,0.595423818
21-08-2019,negative,0.401306957
22-08-2019,positive,0.553274512
23-08-2019,positive,0.510471463
24-08-2019,positive,0.607864738
25-08-2019,positive,0.512458026
26-08-2019,negative,0.463854939
27-08-2019,positive,0.510687172
28-08-2019,positive,0.508229434
29-08-2019,negative,0.485172659
30-08-2019,negative,0.408999622
31-08-2019,positive,0.50899148
01-09-2019,positive,0.511714816
02-09-2019,positive,0.561353862
03-09-2019,positive,0.626553118
04-09-2019,negative,0.480345309
05-09-2019,negative,0.459860384
06-09-2019,positive,0.568208277
07-09-2019,positive,0.505656064
08-09-2019,negative,0.381000072
09-09-2019,negative,0.447887719
10-09-2019,negative,0.484478354
11-09-2019,negative,0.495060027
12-09-2019,positive,0.508379161
13-09-2019,negative,0.298287421
14-09-2019,negative,0.392511249
15-09-2019,negative,0.267634243
16-09-2019,positive,0.654718637
17-09-2019,negative,0.463824868
18-09-2019,positive,0.543236732
19-09-2019,negative,0.478059202
20-09-2019,negative,0.469592512
21-09-2019,negative,0.399434626
22-09-2019,negative,0.394349009
23-09-2019,positive,0.581173897
24-09-2019,positive,0.529165506
25-09-2019,negative,0.435612738
26-09-2019,negative,0.471622854
27-09-2019,negative,0.333822608
28-09-2019,positive,0.535837352
29-09-2019,positive,0.57739383
30-09-2019,negative,0.416224211
01-10-2019,negative,0.49708128
02-10-2019,positive,0.565548956
03-10-2019,negative,0.469584316
04-10-2019,positive,0.507163286
05-10-2019,positive,0.524625719
06-10-2019,negative,0.466022432
07-10-2019,positive,0.537158728
08-10-2019,negative,0.446799815
09-10-2019,positive,0.528232694
10-10-2019,negative,0.442939907
11-10-2019,positive,0.504889071
12-10-2019,negative,0.426108658
13-10-2019,positive,0.564124167
14-10-2019,positive,0.580219805
15-10-2019,negative,0.4368155
16-10-2019,negative,0.380290776
17-10-2019,negative,0.368792742
18-10-2019,positive,0.60260272
19-10-2019,negative,0.425684988
20-10-2019,positive,0.65367198
21-10-2019,positive,0.511342704
22-10-2019,negative,0.454593241
23-10-2019,negative,0.461401463
24-10-2019,negative,0.492170274
25-10-2019,negative,0.440850109
26-10-2019,negative,0.430795163
27-10-2019,negative,0.397738844
28-10-2019,negative,0.464760631
29-10-2019,positive,0.669986665
30-10-2019,negative,0.448518693
31-10-2019,negative,0.381785601
01-11-2019,positive,0.521454215
02-11-2019,negative,0.485462159
03-11-2019,negative,0.468012631
04-11-2019,negative,0.455498219
05-11-2019,negative,0.490169734
06-11-2019,positive,0.546960354
07-11-2019,positive,0.507733762
08-11-2019,positive,0.542666256
09-11-2019,negative,0.40336892
10-11-2019,positive,0.664463341
11-11-2019,negative,0.372165442
12-11-2019,positive,0.523762524
13-11-2019,positive,0.545317411
14-11-2019,negative,0.481671602
15-11-2019,negative,0.432806224
16-11-2019,positive,0.543958664
17-11-2019,positive,0.514559925
18-11-2019,negative,0.495421737
19-11-2019,positive,0.51131016
20-11-2019,negative,0.484474242
21-11-2019,positive,0.505301476
22-11-2019,positive,0.546091557
23-11-2019,positive,0.552605629
24-11-2019,positive,0.607253253
25-11-2019,positive,0.578713834
26-11-2019,negative,0.393783659
27-11-2019,negative,0.374826252
28-11-2019,positive,0.596004605
29-11-2019,negative,0.48537457
30-11-2019,negative,0.462995559
01-12-2019,negative,0.486018538
02-12-2019,negative,0.471948475
03-12-2019,negative,0.459913641
04-12-2019,negative,0.425508767
05-12-2019,negative,0.481544614
06-12-2019,positive,0.505731404
07-12-2019,positive,0.594558835
08-12-2019,negative,0.437752634
09-12-2019,positive,0.611957073
10-12-2019,negative,0.435735852
11-12-2019,positive,0.525942922
12-12-2019,positive,0.562972307
13-12-2019,positive,0.52905637
14-12-2019,positive,0.551523209
15-12-2019,negative,0.488409609
16-12-2019,positive,0.602210224
17-12-2019,negative,0.244942099
18-12-2019,positive,0.589774489
19-12-2019,negative,0.404296905
20-12-2019,negative,0.460997224
21-12-2019,negative,0.464251012
22-12-2019,negative,0.459013462
23-12-2019,negative,0.460973233
24-12-2019,negative,0.381272197
25-12-2019,positive,0.53168577
26-12-2019,negative,0.362340033
27-12-2019,negative,0.481591105
28-12-2019,negative,0.420946509
29-12-2019,negative,0.298026502
30-12-2019,positive,0.696614742
31-12-2019,positive,0.590978205
01-01-2020,negative,0.374406248
02-01-2020,positive,0.634389341
03-01-2020,positive,0.543216765
04-01-2020,negative,0.199859142
05-01-2020,positive,0.543204308
06-01-2020,positive,0.545861661
07-01-2020,positive,0.568630874
08-01-2020,positive,0.509357631
09-01-2020,positive,0.518188953
10-01-2020,positive,0.518645704
11-01-2020,negative,0.302106261
12-01-2020,positive,0.678525388
13-01-2020,negative,0.489935189
14-01-2020,negative,0.359627455
15-01-2020,positive,0.60151422
16-01-2020,negative,0.484991461
17-01-2020,negative,0.472908735
18-01-2020,negative,0.437751919
19-01-2020,negative,0.452343911
20-01-2020,negative,0.432343274
21-01-2020,negative,0.48904103
22-01-2020,positive,0.543616056
23-01-2020,positive,0.604913354
24-01-2020,positive,0.71072948
25-01-2020,positive,0.608537257
26-01-2020,positive,0.581393838
27-01-2020,negative,0.461846173
28-01-2020,negative,0.403093129
29-01-2020,negative,0.464161068
30-01-2020,positive,0.509816825
31-01-2020,negative,0.437069893
01-02-2020,negative,0.450510114
02-02-2020,negative,0.447961003
03-02-2020,positive,0.510768294
04-02-2020,positive,0.564323246
05-02-2020,positive,0.632983029
06-02-2020,negative,0.475583941
08-02-2020,positive,0.560538113
09-02-2020,negative,0.452956259
10-02-2020,positive,0.558000922
11-02-2020,negative,0.484899968
12-02-2020,negative,0.455657929
13-02-2020,positive,0.596261799
14-02-2020,positive,0.635677338
15-02-2020,negative,0.477152437
16-02-2020,negative,0.442738712
17-02-2020,positive,0.567995608
18-02-2020,positive,0.606095552
19-02-2020,negative,0.455109984
20-02-2020,negative,0.449520797
21-02-2020,negative,0.483438104
22-02-2020,negative,0.327510774
23-02-2020,negative,0.437683105
24-02-2020,positive,0.614662588
25-02-2020,positive,0.547220528
26-02-2020,positive,0.505579352
27-02-2020,positive,0.509569049
28-02-2020,negative,0.455627173
29-02-2020,positive,0.60227114
01-03-2020,positive,0.675484657
02-03-2020,negative,0.486527145
03-03-2020,positive,0.59857446
04-03-2020,negative,0.480235308
05-03-2020,negative,0.460693896
06-03-2020,negative,0.466739684
07-03-2020,negative,0.26376307
08-03-2020,negative,0.48951745
09-03-2020,negative,0.468566179
10-03-2020,positive,0.609098494
11-03-2020,negative,0.425730318
12-03-2020,negative,0.43772161
13-03-2020,positive,0.542633593
14-03-2020,negative,0.468831718
15-03-2020,positive,0.660690367
16-03-2020,negative,0.442044169
17-03-2020,positive,0.515911758
18-03-2020,negative,0.483366638
19-03-2020,negative,0.476636589
20-03-2020,negative,0.4747518
21-03-2020,negative,0.436631054
22-03-2020,negative,0.423230141
23-03-2020,positive,0.520040274
24-03-2020,positive,0.576768935
25-03-2020,negative,0.413300335
26-03-2020,positive,0.591632485
27-03-2020,negative,0.477545232
28-03-2020,positive,0.517982721
29-03-2020,negative,0.445459098
30-03-2020,negative,0.468328863
31-03-2020,negative,0.428108215
01-04-2020,negative,0.438052237
02-04-2020,negative,0.479472667
03-04-2020,positive,0.510593712
04-04-2020,negative,0.499539703
05-04-2020,negative,0.447135597
06-04-2020,negative,0.413802534
07-04-2020,positive,0.556656957
08-04-2020,negative,0.397916049
09-04-2020,negative,0.417819977
10-04-2020,positive,0.558586121
11-04-2020,positive,0.526131153
12-04-2020,negative,0.474857777
13-04-2020,negative,0.376626611
14-04-2020,positive,0.501425624
15-04-2020,negative,0.461344063
16-04-2020,negative,0.459458858
17-04-2020,positive,0.611861885
18-04-2020,negative,0.491475612
19-04-2020,negative,0.434823781
20-04-2020,positive,0.547754943
21-04-2020,negative,0.460283518
22-04-2020,negative,0.489125282
23-04-2020,positive,0.557260573
